19,"According to the TOGAF standard, which of the following is the reason why the first execution of an ADM cycle will be more difficult than later cycles?",A) Because there are few architecture assets available,B) Because of insufficient trained architecture practitioners,C) Because the Baseline Architecture must be fully defined across the enterprise,D) Because of lack of governance,,A
20,Gap analysis is a key step in validating the architecture in Phase B: Business Architecture. Which one of the following statements is true?,A) Gap analysis identifies areas where the Data Architecture needs to change,B) Gap analysis highlights the impacts of change,C) Gap analysis can be used to resolve conflicts amongst different viewpoints,D) Gap analysis highlights services that are available,E) Gap analysis highlights services that are yet to be procured,E
21,What technique does the TOGAF standard recommend for identifying and understanding the requirements that an architecture must address?,A) Risk management,B) Business scenarios,C) Architecture principles,D) Gap analysis,E) Stakeholder management,B
22,Where does the Integrated Information Infrastructure Reference Model fit in terms of the Enterprise Continuum?,A) Foundation Architectures,B) Industry Architectures,C) Common Systems Architectures,D) Organization-Specific Architectures,,C
23,Architecture views and architecture viewpoints are used by an architect to capture or model the design of a system architecture. Which one of the following statements is true?,A) Different stakeholders always share the same architecture viewpoints,B) An architecture viewpoint is the perspective of an individual stakeholder,C) An architecture view is the perspective of an individual stakeholder,D) Different stakeholders always share the same architecture views,,B
24,Which of the following is considered by the TOGAF standard as an attribute of a good building block?,A) A building block with public interfaces,B) A building block that is re-usable,C) A building block that guides the development of solutions,D) A building block that is product-aware,E) A building block meeting business needs,B
25,"According to the TOGAF standard, in which ADM phase does the initial implementation planning occur?",A) Phase A: Architecture Vision,B) Phase D: Technology Architecture,C) Phase C: Information Systems Architectures,D) Phase E: Opportunities and Solutions,E) Phase B: Business Architecture,D
26,"When applying a cycle of the ADM with the Architecture Vision to establish an Architecture Capability, which phase architecture domain defines the structure of the organization’s Architecture Repository?",A) Data Architecture,B) Technology Architecture,C) Application Architecture,D) Business Architecture,,A
27,"The TOGAF standard defines levels of architecture conformance. Which of the following describes a situation where some features in an architecture specification have not been implemented, but those that have are in accordance with the specification?",A) Compliant,B) Non-conformant,C) Conformant,D) Consistent,E) Irrelevant,A
28,In which phase of the ADM are the gap analysis results from the four architecture domains taken into account?,A) Phase H,B) Phase E,C) Requirements Management,D) Phase G,E) Phase F,B
29,"In which phase of the TOGAF ADM do activities include assessing the dependencies, costs, and benefits of the migration projects?",A) Requirements Management,B) Phase G,C) Phase F,D) Phase E,E) Phase H,C
30,"Complete the sentence: All of the following are technology-related drivers for architecture Change Requests, except __________",A) asset management cost reductions,B) technology withdrawal,C) new technology reports,D) standards initiatives,E) strategic change,E
31,Which one of the following best describes the content of an Architecture Building Block?,A) Product or vendor-aware,B) Defined implementation,C) Fundamental functionality,D) Specific functionality,E) Products and components used to implement the functionality,C
32,"In Phase D, which of the following resources from the Architecture Repository should be considered in the development of the Technology Architecture?",A) TOGAF Technical Reference Model,"B) Business rules, job descriptions",C) Architecture Vision,D) Stakeholder Map,,A
33,"According to the TOGAF standard, which one of the following is described as a view of the Architecture Repository and provides methods for classifying architecture and solution artifacts as they evolve?",A) Enterprise Continuum,B) Governance Log,C) Standards Information Base,D) Architecture Governance Repository,E) Architecture Landscape,A
34,In which phase of the ADM is an initial assessment of Business Transformation Readiness performed?,A) Phase F,B) Phase A,C) Phase E,D) Phase B,E) Preliminary Phase,B
35,Complete the sentence: Phase A is initiated upon receipt of ___________,A) approval from the Chief Information Officer,B) the Requirements Analysis document,C) a Request for Architecture Work from the sponsoring organization,D) a directive from the Chief Executive Officer,,C
36,Complete the sentence: The architectures that address the detailed enterprise needs and business requirements within the Architecture Continuum are known as_______,A) Organization-Specific Architectures,B) Industry Architectures,C) Common Systems Architectures,D) Foundation Architectures,,A
37,Which one of the following best describes the TOGAF standard?,A) A framework and method for architecture development,B) An architecture pattern,C) A method for IT Governance,D) A method for developing Technology Architectures,,A
38,Which part of the TOGAF Library contains broadly applicable information relating to the subject of the TOGAF framework or Enterprise Architecture?,A) Foundation Documents,B) Industry-Specific Guidance and Techniques,C) Generic Guidance and Techniques,D) Organization-Specific Guidance and Techniques,,A
39,"What TOGAF deliverable identifies changes that are needed to the current architecture requirements and specification, and also documents the implications of change?",A) Architecture Roadmap,B) Requirements Impact Assessment,C) Architecture Landscape,D) Gap Analysis Results,E) Architecture Vision,B
40,"The approach of the Preliminary Phase is about defining “where, what, why, who, and how we do architecture” in the enterprise concerned. Which one of the following statements is not correct?",A) “Who” can be seen as defining the sponsor responsible for performing the architectural work,B) “Why” can be seen as the key drivers and elements in the context of the organization,C) “Where” can be seen as scoping the enterprise concerned,D) “How” is determined by the frameworks selected and the methodologies that are going to be used,,A
100,"Which section of the TOGAF standard describes the processes, skills and roles to establish and operate an architecture function within an enterprise?",A) Architecture Development Method,B) ADM Guidelines and Techniques,C) Architecture Content Framework,D) Architecture Capability Framework,,D
42,"Complete the sentence. To promote effective architectural activity within the enterprise, the TOGAF standard recommends the establishment of a(n) _____",A) Enterprise Architecture Capability,B) IT Governing Board,C) Program Management Office,D) Quality Assurance department,E) Service Management department,A
43,Which phase of the ADM is used to finalize a set of transition architectures that will support implementation?,A) Phase D,B) Phase E,C) Phase F,D) Phase G,E) Phase H,C
44,Which one of the following statements best describes the ADM Guidelines and Techniques?,A) Guidelines address different usage scenarios including different process styles and specialist architectures that can be adapted in the ADM,"B) Guidelines address different usage scenarios that cannot be adapted directly into the ADM
iteration process","C) Techniques support different usage scenarios that can be adapted directly into the ADM
iteration process","D) Techniques support different usage scenarios including different process styles and specialist
architectures that can be adapted in the ADM",,A
45,"According to the TOGAF standard, the recommended dimensions used to define the scope of an architecture include all the following, except:",A) Architecture Domains,B) Breadth,C) Depth,D) Subject Matter,E) Time Period,D
46,Which of the following classes of architectural information within the Architecture Repository defines processes that support governance of the Architecture Repository?,A) Architecture Capability,B) Architecture Landscape,C) Architecture Metamodel,D) Governance Log,E) Reference Library,A
47,"In which ADM phase are the business principles, business goals and strategic drivers validated?",A) Preliminary Phase,"B) Phase A, Architecture VisionC) ","C) Phase B, Business Architecture","D) Phase H, Architecture Change Management",E) Requirements Management Phase,B
48,Which of the following best describes the purpose of the TOGAF Library?,A) A method to classify artifacts and other outputs from the TOGAF ADM,B) A set of reusable reference architectures,C) The body of knowledge for TOGAF certification,D) To accelerate the creation of new enterprise architectures,,D
49,Which of the following best describes the TOGAF Technical Reference Model?,A) The TOGAF Architecture Development Method mandates the use of the Technical Reference Model for large complex architecture projects,B) The Technical Reference Model is an integral part of the TOGAF Architecture Development Method,C) The Technical Reference Model should not be modified,D) The Technical Reference Model includes a set of graphical models and a corresponding taxonomy,,D
50,Which one of the following best describes a primary use of the Architecture Vision document?,A) A checklist for compliance reviews,B) To calculate detailed cost estimates,C) To project plan the implementation activities,D) To describe the benefits of the proposed capability to stakeholders,,D
51,"Which of the following could be considered for potential use in Phase C, Application Architecture?",A) The ARTS data model,B) The Integrated Information Infrastructure Reference Model,C) The Resource-Event-Agent model,D) The STEP framework,E) The TOGAF Technical Reference Model,B
52,"In Phase G, what document establishes the connection between the architecture organization and the implementation organization?",A) Architecture Contract,B) Architecture Landscape,C) Architecture Roadmap,D) Requirements Impact Statement,E) Transition Architecture,A
53,Which phase of the ADM is an on-going activity that is visited throughout a TOGAF architecture project?,A) Architecture Change Management,B) Implementation governance,C) Migration planning,D) Preliminary Phase,E) Requirements Management,E
54,Which of the following statements is true about risk management in the ADM?,A) Risk analysis is best conducted in the Architecture Vision phase so that the risk is eliminated in subsequent phases,B) Risk analysis should be carried out first in the Migration Planning phase,C) Risk is pervasive in all enterprise architecture activity and should be managed in all phases of the ADM,D) The only risks that are within the scope of enterprise architecture are technological risks,,C
55,Which of the following best describes capability based planning?,A) A business planning technique that focuses on business outcomes,B) A business planning technique that focuses on horizontal capabilities,C) A business planning technique that focuses on vertical capabilities,D) A human resource planning technique that focuses on capable architects,,A
56,"According to the TOGAF standard, which one of the following is the practice by which the enterprise architecture and other architectures are managed and controlled at an enterprise level?",A) Architecture governance,B) Corporate governance,C) IT governance,D) Technology governance,,A
57,"Which one of the following is recommended to achieve a customer-focused, value-adding and sustainable architecture practice?",A) Develop an Architecture Roadmap,B) Populate the Architecture Repository,C) Populate the Enterprise Continuum,D) Use the Architecture Development Method,E) Use the Implementation Governance Phase,D
58,Which of the following statements best describes the purpose of the Architecture Requirements Specification?,A) A document that triggers the start of an architecture development cycle,B) A qualitative view of the solution to communicate the intent of the architect,C) A quantitative view of the solution to measure the implementation,D) A record of deviations from the planned architectural approach to identify changes to be made,,C
59,Which one of the following best describes the purpose of the Communications Plan?,A) To ensure that architecture information is communicated to the right stakeholders at the right time,B) To support Boundaryless Information Flow,C) To evangelize the architecture to the end user community,D) To keep the Architecture Review Board appraised of changes to the architecture,E) To ensure that the outcomes of a Compliance Assessment are distributed to the members of the Architecture Review Board,A
60,"Complete the sentence. The statement, ""Getting information to the right people at the right time in a secure, reliable manner in order to support the operations that are core to the extended enterprise"" describes the concept of _____",A) Boundaryless Information Flow,B) Interoperability,C) Portability,D) Service Oriented Architecture,,A
61,"According to the TOGAF standard, where should architecture governance artifacts be stored?",A) In the Architecture Repository,B) In the Foundation Architecture,C) In the Integrated Infrastructure Reference Model,D) In the Requirements Repository,E) In the Standards Information Base,A
62,Which architecture domain describes logical software and hardware capabilities?,A) Application Architecture,B) Business Architecture,C) Data Architecture,D) Information Systems Architecture,E) Technology Architecture,E
63,Which of the following lists components within the Architecture Repository?,"A) Organizational Metamodel, Architecture Capability, Architecture Landscape, Best Practices, Reference Library, Compliance Strategy","B) Architecture Metamodel, Organizational Capability Model, Application Landscape, SIB, Reference Library, Governance Model","C) Business Metamodel, Architecture Capability, Architecture Landscape, SIB, Reference Library, Governance Log","D) Architecture Metamodel, Architecture Capability, Architecture Landscape, SIB, Reference Library, Governance Log",,D
64,"Which of the following reasons best describes why the ADM numbering scheme for versioning
output is an example and not mandatory?",A) To show the evolution of deliverables,B) To permit adaptation as required,C) To enable use with the Architecture Content Framework,D) To support change management,,B
65,Which of the following is not one of the domain architectures produced by the TOGAF ADM process?,A) Application Architecture,B) Business Architecture,C) Data Architecture,D) Pattern Architecture,E) Technology Architecture,D
66,Which of the TOGAF ADM phases is considered to be the initial phase of an Architecture Development Cycle?,A) Preliminary Phase,B) Phase A,C) Phase B,D) Phase E,E) Phase G,B
67,Which one of the following is defined as describing the state of an architecture at an architecturally significant point in time during the progression from the Baseline to the Target Architecture?,A) Capability Architecture,B) Foundation Architecture,C) Segment Architecture,D) Solution Architecture,E) Transition Architecture,E
68,Which one of the following best describes ADM Phase F?,A) Prepare the organization for successful architecture projects,B) Develop architectures in four domains,C) Perform initial implementation planning,D) Develop detailed implementation plan,E) Provide architecture oversight for the implementation,D
69,Complete the sentence: The TOGAF Integrated Information Infrastructure Reference Model (III-RM) is classified in the Architecture Continuum as an example of a(n) _______.,A) Common Systems Architecture,B) Industry Architecture,C) Enterprise Architecture,D) Foundation Architecture,,A
70,Which of the ADM phases includes the objective of establishing the organizational model for enterprise architecture?,A) Preliminary,B) Phase A,C) Phase B,D) Phase D,E) Phase E,A
71,Which of the following is a technique that can be used to discover and document business requirements in Phase A?,A) Business Scenarios,B) Business Transformation Readiness Assessment,C) Capability Based Planning,D) Gap Analysis,E) Stakeholder Management,A
72,Complete the sentence. The Transition Architectures defined in Phase E are confirmed with the stakeholders in _________________.,A) Phase E,B) Phase F,C) Phase G,D) Phase H,,B
73,Complete the sentence. A good business scenario should be “SMART”. The letter “S” stands for ______________.,A) Solution-oriented,B) Specific,C) Strategic,D) Stakeholder-oriented,,B
74,Which of the following best describes the Business Transformation Readiness Assessment technique?,A) A technique to define the degree to which information and services are to be shared,B) A technique used to validate an architecture,C) A technique used to identify and understand the business requirements an architecture must address,D) A technique used to develop general rules and guidelines for the architecture being developed,E) A technique used to understand the readiness of an organization to accept change,E
75,Which of the following best describes the Capability-Based Planning technique?,A) A technique used to plan the degree to which information and services are to be shared,B) A technique used to validate an architecture,C) A technique used for business planning that focuses on business outcomes,D) A technique used to develop general rules and guidelines for the architecture being developed,,C
76,Which one of the following best describes an Architecture Contract?,A) An agreement between the development partners and stakeholders on the acceptable risks and mitigating actions for an architecture,"B) An agreement between development partners and sponsors on the deliverables, quality, and fitness-for-purpose of an architecture",C) An agreement between the lead architect and the development partners on the enforcement of Architecture Compliance for an architecture,D) An agreement between development partners and sponsors on how best to monitor implementation of the architecture,,B
77,The TOGAF standard defines a set of terms to describe Architecture Compliance. Which one of the following applies to the case where an implementation has no features in common with the architecture specification?,A) Compliant,B) Conformant,C) Irrelevant,D) Non-conformant,,C
78,Which of the following terms does TOGAF use to describe people who have an interest in a system?,A) Architect,B) Consumer,C) Sponsor,D) Stakeholder,,D
79,Which of the following ADM phases is where SBBs first appear in the ADM cycle?,A) Phase A,B) Phase B,C) Phase D,D) Phase E,E) Phase G,D
80,"Which of the following documents acts as the deliverable container for the Business, Data, Application, and Technology architectural artifacts?",A) Architecture Contract,B) Architecture Definition Document,C) Architecture Requirements Specification,D) Architecture Roadmap,E) Architecture Vision,B
81,  Which of the following TOGAF components was created to enable architects to design architectures addressing Boundaryless Information Flow?    ,A) The Architecture Repository,B) The Enterprise Continuum,C) The Integrated Information Infrastructure Model,D) The TOGAF Technical Reference Model,,C
82,  Which of the following best describes the TOGAF Technical Reference Model?      ,A) It is a detailed data model that can be tailored to specific industries,B) It is an example of a Common Systems Architecture,C) It is a fundamental architecture upon which more specific architectures can be based,"D) t is a model of application components and application services software, including brokering applications",,C
83,  Which one of the following statements about the structure of the TOGAF 9 document is true?      ,"A) Part I, the Enterprise Continuum, describes a model for structuring a virtual repository","B) Part II, the Architecture Development Method, describes the definitions of terms used in TOGAF, and the changes between versions of TOGAF","C) Part III, Tools and Support, describes a collection of guidelines and techniques used in the other parts of TOGAF","D) Part VI, TOGAF Reference Models, includes a model for release management of the TOGAF specification","E) Part VII, the Architecture Capability Framework, describes processes and skills to establish an enterprise function",E
84,  Which phase of the ADM ensures that implementation projects conform to the defined architecture?    ,A) Requirements Management,B) Phase D,C) Phase F,D) Phase G,"E) Part VII, the Architecture Capability Framework, describes processes and skills to establish an enterprise function",D
85,  Complete the sentence. The Requirements Management Phase _____________________.      ,A) addresses and resolves requirements between ADM phases,B) is a central process that prioritizes requirements for all ADM phases,C) is used to dispose of resolved requirements for all ADM phases,D) generates new requirements and passes them to all ADM phases,E) stores requirements and manages their flow into relevant ADM phases,E
86,  Which one of the following is an objective of the Preliminary Phase of the ADM?      ,A) To define the Baseline Architecture for this cycle of the ADM,B) To define the application systems for the Target Architecture,C) To define the framework and methodologies to be used,D) To define the relevant stakeholders and their concerns,E) To define and prioritise work packages,C
87,  According to TOGAF when creating views for a particular architecture what is the recommended first step?  ,A) Design a viewpoint to address all stakeholder concerns,B) Develop views for the target architecture first,C) Ensure completeness of the architecture,D) Refer to existing libraries of viewpoints to identify one for re-use,,D
88,  Which of the following architectures in the Architecture Continuum contains the most re-usable architecture elements?    ,A) Common Systems Architectures,B) Foundation Architectures,C) Industry Architectures,D) Organization-Specific Architectures,,B
89,  Which of the following describes the Architecture Vision document?      ,A) A description of individual change increments showing progression from the baseline to target architecture,B) A detailed schedule for implementation of the target architecture,C) A high level description of the baseline and target architectures,D) A joint agreement between the development team and sponsor on the deliverables and quality of an architecture,E) A set of rules and guidelines to support fulfilling the mission of the organization,C
90,  According to TOGAF which of the following best describes how the Enterprise Continuum is used in organizing and developing an architecture?  ,A) It is used to coordinate with the other management frameworks in use,B) It is used to describe how an architecture addresses stakeholder concerns,C) It is used to identify and understand business requirements,D) It is used to provide a system for continuous monitoring,E) It is used to structure re-usable architecture and solution assets,E
91,  What document is sent from the sponsoring organization to the architecture organization to trigger the start of an ADM cycle?    ,A) Architecture Contract,B) Architecture Definition Document,C) Architecture Vision,D) Request for Architecture Work,E) Statement of Architecture Work,D
92,  According to TOGAF which of the following best describes Architecture Governance? ,A) categorization mechanism for architecture and solution artifacts,B) A framework for operational and change activity,C) A method for designing an information system in terms of a set of building blocks,D) The lifecycle management of information and related technology used by an organization,E) The practice by which enterprise architectures are controlled at an enterprise-wide level,E
93,  Which component within the Architecture Repository holds best practice or template materials that can be used to construct architectures?    ,A) Architecture Capability,B) Architecture Landscape,C) Architecture Metamodel,D) Governance Log,E) Reference Library,E
94,  Complete the sentence. According to TOGAF all the following are responsibilities of an Architecture Board except ______________________.  ,A) Allocating resources for architecture projects,B) Decision making for changes in the architecture,C) Enforcing Architecture Compliance,"""D) Improving the maturity of the organizations architecture discipline """,E) Production of governance materials,A
95,"According to TOGAF, which of the following best describes the purpose of a Compliance Assessment?",A) To ensure that architecture information is communicated to the right stakeholders at the right time,B) To govern the architecture throughout its implementation process,C) To provide a high-level view of the end architecture product,D) To show progression of change from the Baseline Architecture to the Target Architecture,,B
96,  Which of the following describes a key objective of the Technology Architecture Phase?      ,A) To define the solution architecture needed to support the Application Architecture,B) To define technology components into a set of technology platforms,C) To define the Transition Architectures needed to achieve the Target Architecture,D) To develop a migration plan to deliver incremental capabilities,E) To select a set of technology products that will form the basis of a solution architecture,B
97,  Which one of the following statements best describes why the ADM should be adapted?      ,A) To align it closer to the business,B) To make the use more realistic,C) To move through the cycle faster,D) To suit the specific needs of the enterprise,,D
98,In which phase of the TOGAF ADM are Gap Analysis results from earlier phases consolidated?,A) Phase D,B) Phase E,C) Phase F,D) Phase G,E) Phase H,B
99,  Which of the following best describes the purpose of a business scenario?      ,A) To define and plan an enterprise architecture transformation based on Capability-Based Planning,B) To develop a set of general rules and guidelines for the architecture being developed,C. To develop a set of security guidelines for the architecture being developed,D) To help identify and understand the business requirements that an architecture must address,E) To identify and mitigate the risks when implementing an architecture project,D
100,  According to TOGAF which of the following best describes the classification of architectural change in the case where multiple server systems are being consolidated to a single system?  ,A) A bottom-up change to enhance operational capability,B) An incremental change handled via change management techniques,C) A re-architecting change that puts the whole architecture through an ADM cycle,D) A revision change of the enterprise architecture,E) A simplification change handled via change management techniques,E
101,  Which of the following statements best describes the purpose of enterprise architecture?      ,A) To allow an enterprise to exploit the latest trends in technology,B) To enable the CIO to take effective control of the business units across an enterprise,C) To ensure compliance in an enterprise to corporate auditing standards,D) To optimise an enterprise into an environment that is responsive to business needs,E) To provide a set of standards that all actors must adhere to within an enterprise,D
102,  Which of the following statements best describes how Architecture Principles are used within the ADM?    ,A) They are used to define the framework and detailed methodologies,B) They are used to define stakeholders and their concerns,C) They are used to determine the readiness factors impacting the organization,D) They are used to guide decision making within the enterprise,E) They are used to resolve and dispose of requirements,D
103, Which of the following statements about TOGAF Building Blocks and their use in the ADM cycle is correct?    ,A) Building Blocks become more implementation-specific in Phase E,B) Building Blocks in phases D,E and F are evolved to a common pattern of steps,C) Building Blocks should be identified in abstract form as part of the Preliminary Phase,D) Building Blocks should be first selected in Phase D,A
104,  Which one of the following is an objective of Phase A of the TOGAF ADM?      ,A) To allocate the resources needed to implement the architecture project,B) To define the framework that is going to be used to develop the enterprise architecture,C) To define an IT Strategy that maps out the technology infrastructure,D) To prepare a Solution Architecture for the enterprise,E) To secure formal approval to proceed,E
105,  Complete the sentence. TOGAF 9 Part III provides a set of resources that can be used to adapt and modify the ____________.    ,A) Architecture Capability,B) Architecture Development Method,C) Architecture Landscape,D) Architecture Repository,E) Enterprise Continuum,B
106,  Which of the following best describes how TOGAF defines an enterprise?      ,A) Any collection of organizations that has a common set of goals,B) Any corporation with more than 10000 employees,C) Any organization involved in commerce,D) Any organization whose stock is traded,E) Any set of organizations based at the same geographic location,A
107,  Which of the following is an objective of Phase B Business Architecture?    ,A) To confirm the ability of the enterprise to undergo change,B) To demonstrate how stakeholder concerns are addressed in the Business Architecture,C) To develop a Target Technology Architecture to support the business,D) To finalize the Architecture Vision and Architecture Definition documents,E) To maximize the business value from the architecture,B
108,  Which section of the TOGAF template for Architecture Principles should highlight the business benefits for adhering to the principle?    ,A) Implications,B) Name,C) Rationale,D) Statement,,C
109,  Which of the following is defined by TOGAF as a representation of a system from the perspective of a related set of concerns?    ,A) Architecture Building Block,B) Capability Architecture,C) Statement of Work,D) View,E) Viewpoint,D
110,  Complete the sentence. The TOGAF Architecture Governance Framework includes ________________.    ,A) a list of responsibilities for running an Architecture Board,B) a model for governance including process content and context,C) guidance for establishing an Architecture Capability using the ADM,D) the Architecture Compliance review process and checklists,,B
111,  In the Solutions Continuum which of the following is the correct order of solutions ranging from generic solution to enterprise specific solution?  ,"A) Foundation, Common Systems, Industry, Organization-Specific","B) Industry, Foundation, Common Systems, Organization-Specific","C) Organization-Specific, Industry, Common Systems, Foundation","D) Organization-Specific, Industry, Foundation, Common Systems",,A
112,  Which one of the following best describes the purpose of ADM Phase E?      ,A) To define the initial implementation plans,"B) To define the scope, identifying stakeholders and obtaining approvals",C) To develop the Technology Architecture,D) To manage requirements throughout the ADM,E) To perform architectural oversight for the implementation,A
113,  Which one of the following categories from the Document Categorization model consists of the normative parts of TOGAF which are considered central to its usage?    ,A) TOGAF Core,B) TOGAF Mandated,C) TOGAF Recommended,D) TOGAF Referenced,E) TOGAF Supporting,B
114,  Which one of the following statements about TOGAF Building Blocks is true?      ,A) Building blocks at a functional level are known as Solutions Building Blocks,"B) Solutions Building Blocks are selected in Phases A, B, C and D",C) The specification of a building block should be loosely coupled to its implementation,D) The gap analysis technique should be used to identify building blocks for re-use,,C
115,  What part of the Architecture Repository shows the building blocks that are currently in use within the organization?    ,A) Architecture Landscape,B) Architecture Metamodel,C) Governance Log,D) Reference Library,E) Standards Information Base,A
116,  Which one of the following is responsible for the acceptance and sign-off of an Architecture Compliance review?    ,A) Architecture Board,B) Architecture Review Co-ordinator,C) CIO,D) Lead Enterprise Architect,E) Project Leader,A
117,  According to TOGAF in which phase of the ADM should an initial assessment of business transformation readiness occur?  ,A) Preliminary Phase,B) Phase A,C) Phase B,D) Phase F,E) Phase G,B
118,  Complete the sentence. A gap analysis will enable the architect to do all of the following except _____.    ,A) identify building blocks that have been inadvertently omitted,B) identify building blocks that have been intentionally eliminated,C) identify building blocks to be carried over,D) identify new building blocks that are needed,E) identify potential vendors to provide new building blocks,E
119,  Which of the following best describes an approach for adapting the ADM in the situation where the business case for doing architecture is not well recognized?    ,A) Completion of the Business Architecture should follow the Information Systems Architecture,B) Create an Architecture Vision and then a detailed Business Architecture,"C) Produce a ""cut-down"" version of the ADM suitable to the resources available",D) Tailor the ADM in conjunction with another architecture framework that has deliverables specific to the vertical sector,E) Tailor the ADM to reflect the relationships with and dependencies on other management processes within the organization,B
120,  What technique does TOGAF recommend for evaluating the status of an organization to undergo change?    ,A) Business Transformation Readiness Assessment,B) Business Value Assessment Technique,C) Capability-Based Planning,D) Communications and Stakeholder Management,E) Gap Analysis,A
121,"  Which of the following best describes the meaning of ""Initial Level of Risk"" in Risk Management?      ",A) The categorization after implementation of mitigating actions,B) The categorization after initial risk assessment,C) The categorization after mitigation and residual risk assessment,D) The categorization before determining and implementing mitigating actions,E) The categorization before risk identification,D
122,  Complete the sentence. According to TOGAF a view is used to describe how the _____ of a stakeholder are being met.  ,A) concerns,B) constraints,C) interests,D) perspective,E) requirements,A
123,  Complete the sentence. The Architecture Development Method produces content to be stored in the Repository which is classified according to the __________________.  ,A) ADM Guidelines and Techniques,B) Architecture Capability Framework,C) Architecture Capability Model,D) Enterprise Continuum,E) Standards Information Base,D
124,  Which of the following best describes the state of architecture artifacts as a project progresses through ADM Phases A to D?    ,A) The artifacts are transformed into solution architectures,B) The artifacts become increasingly product focused,C) The artifacts become increasingly generic and re-usable,D) The artifacts evolve from generic architectures to organization-specific architectures,E) The artifacts evolve from common systems architectures to foundation architectures,D
125,  Which of the following describes the Phase H classification for an Incremental change?      ,A) A change driven by a requirement to derive additional value from the existing investment,B) A change driven by a requirement to increase investment in order to create new value for exploitation,C) A change driven by a requirement to reduce investment,D) A change driven by a requirement to re-align with the business strategy,,A
126,  Which one of the following statements about viewpoints is correct?      ,A) A viewpoint is always specific to an architecture,B) A viewpoint is used to create views in Phases E and F,C) A viewpoint is used as a template to create a view,D) A viewpoint is what a stakeholder sees,,C
